ticker,date,close
afe-za,12/29/2006,68.25
afe-za,1/2/2007,69.06
afe-za,1/3/2007,69
afe-za,1/4/2007,68
afe-za,1/5/2007,67.5
afe-za,1/8/2007,67.51
afe-za,1/9/2007,68.35
afe-za,1/10/2007,68.5
afe-za,1/11/2007,69
afe-za,1/12/2007,71
afe-za,1/15/2007,72.02
afe-za,1/16/2007,70
afe-za,1/17/2007,70.05
afe-za,1/18/2007,71.2
afe-za,1/19/2007,73
afe-za,1/22/2007,73
afe-za,1/23/2007,73
afe-za,1/24/2007,73
afe-za,1/25/2007,71
afe-za,1/26/2007,73
afe-za,1/29/2007,73
afe-za,1/30/2007,73.3
afe-za,1/31/2007,73.3
afe-za,2/1/2007,73.2
afe-za,2/2/2007,72
afe-za,2/5/2007,72
afe-za,2/6/2007,72.35
afe-za,2/7/2007,71
afe-za,2/8/2007,71.5
afe-za,2/9/2007,71.5
afe-za,2/12/2007,71.55
afe-za,2/13/2007,73
afe-za,2/14/2007,73.56
afe-za,2/15/2007,74
afe-za,2/16/2007,74.5
afe-za,2/19/2007,72.75
afe-za,2/20/2007,71.84
afe-za,2/21/2007,71.44
afe-za,2/22/2007,70.5
afe-za,2/23/2007,71
afe-za,2/26/2007,71.8
afe-za,2/27/2007,71.75
afe-za,2/28/2007,70.9
afe-za,3/1/2007,67.8
afe-za,3/2/2007,66.8
afe-za,3/5/2007,66.65
afe-za,3/6/2007,68.36
afe-za,3/7/2007,68.37
afe-za,3/8/2007,69
afe-za,3/9/2007,69
afe-za,3/12/2007,70
afe-za,3/13/2007,69.53
afe-za,3/14/2007,68.99
afe-za,3/15/2007,69.25
afe-za,3/16/2007,67.1
afe-za,3/19/2007,69.5
afe-za,3/20/2007,69.5
afe-za,3/22/2007,70
afe-za,3/23/2007,69.6
afe-za,3/26/2007,69.25
afe-za,3/27/2007,69.6
afe-za,3/28/2007,70.25
afe-za,3/29/2007,71.5
afe-za,3/30/2007,73
afe-za,4/2/2007,73
afe-za,4/3/2007,72.01
afe-za,4/4/2007,72.5
afe-za,4/5/2007,72.51
afe-za,4/10/2007,72.55
afe-za,4/11/2007,72.6
afe-za,4/12/2007,72.5
afe-za,4/13/2007,72.5
afe-za,4/16/2007,70.05
afe-za,4/17/2007,71.25
afe-za,4/18/2007,74
afe-za,4/19/2007,73.5
afe-za,4/20/2007,81.2
afe-za,4/23/2007,80.02
afe-za,4/24/2007,80
afe-za,4/25/2007,82.05
afe-za,4/26/2007,80
afe-za,4/30/2007,80.55
afe-za,5/2/2007,80
afe-za,5/3/2007,79.95
afe-za,5/4/2007,80.5
afe-za,5/7/2007,83
afe-za,5/8/2007,81
afe-za,5/9/2007,81.5
afe-za,5/10/2007,83
afe-za,5/11/2007,84.21
afe-za,5/14/2007,83
afe-za,5/15/2007,82.7
afe-za,5/16/2007,81.6
afe-za,5/17/2007,83
afe-za,5/18/2007,85.5
afe-za,5/21/2007,89.5
afe-za,5/22/2007,86.4
afe-za,5/23/2007,87
afe-za,5/24/2007,88
afe-za,5/25/2007,88
afe-za,5/28/2007,88
afe-za,5/29/2007,88.5
afe-za,5/30/2007,87.95
afe-za,5/31/2007,88.5
afe-za,6/1/2007,88.65
afe-za,6/4/2007,89
afe-za,6/5/2007,88.5
afe-za,6/6/2007,88
afe-za,6/7/2007,88.09
afe-za,6/8/2007,85.99
afe-za,6/11/2007,86.41
afe-za,6/12/2007,86
afe-za,6/13/2007,85.55
afe-za,6/14/2007,86.51
afe-za,6/15/2007,85.9
afe-za,6/18/2007,86.01
afe-za,6/19/2007,85.5
afe-za,6/20/2007,86
afe-za,6/21/2007,86.01
afe-za,6/22/2007,85.01
afe-za,6/25/2007,85.01
afe-za,6/26/2007,83.05
afe-za,6/27/2007,81.5
afe-za,6/28/2007,81.85
afe-za,6/29/2007,81.45
afe-za,7/2/2007,80.99
afe-za,7/3/2007,81
afe-za,7/4/2007,80.96
afe-za,7/5/2007,81
afe-za,7/6/2007,82
afe-za,7/9/2007,83.5
afe-za,7/10/2007,83
afe-za,7/11/2007,83.49
afe-za,7/12/2007,83.99
afe-za,7/13/2007,84.5
afe-za,7/16/2007,83.75
afe-za,7/17/2007,83.5
afe-za,7/18/2007,82.5
afe-za,7/19/2007,80.35
afe-za,7/20/2007,79.61
afe-za,7/23/2007,79.75
afe-za,7/24/2007,79
afe-za,7/25/2007,78.5
afe-za,7/26/2007,82
afe-za,7/27/2007,80.5
afe-za,7/30/2007,81.75
afe-za,7/31/2007,81.5
afe-za,8/1/2007,80.45
afe-za,8/2/2007,80.05
afe-za,8/3/2007,80.05
afe-za,8/6/2007,79.1
afe-za,8/7/2007,80.21
afe-za,8/8/2007,82
afe-za,8/10/2007,82
afe-za,8/13/2007,81.9
afe-za,8/14/2007,81.6
afe-za,8/15/2007,80.9
afe-za,8/16/2007,77
afe-za,8/17/2007,77.92
afe-za,8/20/2007,77.3
afe-za,8/21/2007,78
afe-za,8/22/2007,77.9
afe-za,8/23/2007,77.7
afe-za,8/24/2007,78
afe-za,8/27/2007,78.75
afe-za,8/28/2007,79.51
afe-za,8/29/2007,80
afe-za,8/30/2007,79.15
afe-za,8/31/2007,79.5
afe-za,9/3/2007,80.7
afe-za,9/4/2007,81.69
afe-za,9/5/2007,81.85
afe-za,9/6/2007,82.6
afe-za,9/7/2007,82.7
afe-za,9/10/2007,82.5
afe-za,9/11/2007,83
afe-za,9/12/2007,82.9
afe-za,9/13/2007,82.75
afe-za,9/14/2007,82.5
afe-za,9/17/2007,81.01
afe-za,9/18/2007,81
afe-za,9/19/2007,81.5
afe-za,9/20/2007,80.9
afe-za,9/21/2007,80.89
afe-za,9/25/2007,80.61
afe-za,9/26/2007,81.01
afe-za,9/27/2007,81.25
afe-za,9/28/2007,82.5
afe-za,10/1/2007,82.5
afe-za,10/2/2007,82.5
afe-za,10/3/2007,84
afe-za,10/4/2007,85.54
afe-za,10/5/2007,85.51
afe-za,10/8/2007,86
afe-za,10/9/2007,86
afe-za,10/10/2007,86.99
afe-za,10/11/2007,92.5
afe-za,10/12/2007,93.1
afe-za,10/15/2007,92.5
afe-za,10/16/2007,92.5
afe-za,10/17/2007,92.4
afe-za,10/18/2007,91.3
afe-za,10/19/2007,90.44
afe-za,10/22/2007,90.96
afe-za,10/23/2007,91
afe-za,10/24/2007,91.5
afe-za,10/25/2007,90.51
afe-za,10/26/2007,91
afe-za,10/29/2007,91
afe-za,10/30/2007,90.9
afe-za,10/31/2007,90.09
afe-za,11/1/2007,89.3
afe-za,11/2/2007,89.9
afe-za,11/5/2007,89.99
afe-za,11/6/2007,89.99
afe-za,11/7/2007,89.5
afe-za,11/8/2007,88
afe-za,11/9/2007,89
afe-za,11/12/2007,88
afe-za,11/13/2007,87.5
afe-za,11/14/2007,87.95
afe-za,11/15/2007,87.4
afe-za,11/16/2007,87
afe-za,11/19/2007,85.5
afe-za,11/20/2007,85
afe-za,11/21/2007,84.5
afe-za,11/22/2007,84
afe-za,11/23/2007,85
afe-za,11/26/2007,85.25
afe-za,11/27/2007,84
afe-za,11/28/2007,80
afe-za,11/29/2007,81.65
afe-za,11/30/2007,82
afe-za,12/3/2007,81.95
afe-za,12/4/2007,81.5
afe-za,12/5/2007,80.51
afe-za,12/6/2007,79.8
afe-za,12/7/2007,78.5
afe-za,12/10/2007,78.8
afe-za,12/11/2007,77.5
afe-za,12/12/2007,76.7
afe-za,12/13/2007,76.69
afe-za,12/14/2007,75.6
afe-za,12/18/2007,74.5
afe-za,12/19/2007,77.12
afe-za,12/20/2007,75
afe-za,12/21/2007,76.5
afe-za,12/24/2007,75.99
afe-za,12/27/2007,78
afe-za,12/28/2007,80
afe-za,12/31/2007,79
afe-za,1/2/2008,78
afe-za,1/3/2008,75.5
afe-za,1/4/2008,75
afe-za,1/7/2008,74
afe-za,1/8/2008,74.9
afe-za,1/9/2008,74.75
afe-za,1/10/2008,73
afe-za,1/11/2008,72
afe-za,1/14/2008,71.99
afe-za,1/15/2008,70.75
afe-za,1/16/2008,70.5
afe-za,1/17/2008,70
afe-za,1/18/2008,69.5
afe-za,1/21/2008,66.5
afe-za,1/22/2008,65.51
afe-za,1/23/2008,65.8
afe-za,1/24/2008,66.55
afe-za,1/25/2008,65.8
afe-za,1/28/2008,63.99
afe-za,1/29/2008,63.25
afe-za,1/30/2008,63.84
afe-za,1/31/2008,64.25
afe-za,2/1/2008,64.1
afe-za,2/4/2008,65.7
afe-za,2/5/2008,65.13
afe-za,2/6/2008,64.51
afe-za,2/7/2008,64.5
afe-za,2/8/2008,65
afe-za,2/11/2008,64.5
afe-za,2/12/2008,64.6
afe-za,2/13/2008,65.95
afe-za,2/14/2008,65.75
afe-za,2/15/2008,64.96
afe-za,2/18/2008,65
afe-za,2/19/2008,66.36
afe-za,2/20/2008,65.95
afe-za,2/21/2008,67.38
afe-za,2/22/2008,68.01
afe-za,2/25/2008,69.2
afe-za,2/26/2008,73.5
afe-za,2/27/2008,69.4
afe-za,2/28/2008,69.5
afe-za,2/29/2008,69
afe-za,3/3/2008,67.25
afe-za,3/4/2008,68.05
afe-za,3/5/2008,66.8
afe-za,3/6/2008,66
afe-za,3/7/2008,68.9
afe-za,3/10/2008,66.5
afe-za,3/11/2008,67
afe-za,3/12/2008,67.06
afe-za,3/13/2008,66.5
afe-za,3/14/2008,66.06
afe-za,3/17/2008,65.45
afe-za,3/18/2008,64.6
afe-za,3/19/2008,64.99
