ticker,date,close
rem-za,12/29/2006,178.01
rem-za,1/2/2007,177
rem-za,1/3/2007,175.65
rem-za,1/4/2007,170.51
rem-za,1/5/2007,169.85
rem-za,1/8/2007,168.9
rem-za,1/9/2007,171.2
rem-za,1/10/2007,170.45
rem-za,1/11/2007,172.4
rem-za,1/12/2007,173.8
rem-za,1/15/2007,174
rem-za,1/16/2007,175.99
rem-za,1/17/2007,176.89
rem-za,1/18/2007,179
rem-za,1/19/2007,179
rem-za,1/22/2007,179.5
rem-za,1/23/2007,179.2
rem-za,1/24/2007,179.49
rem-za,1/25/2007,175.6
rem-za,1/26/2007,174.05
rem-za,1/29/2007,174
rem-za,1/30/2007,178.4
rem-za,1/31/2007,178.5
rem-za,2/1/2007,175.85
rem-za,2/2/2007,176.4
rem-za,2/5/2007,179.5
rem-za,2/6/2007,182.5
rem-za,2/7/2007,181
rem-za,2/8/2007,178.5
rem-za,2/9/2007,174.94
rem-za,2/12/2007,174.26
rem-za,2/13/2007,176.75
rem-za,2/14/2007,179.5
rem-za,2/15/2007,182.94
rem-za,2/16/2007,179.5
rem-za,2/19/2007,177
rem-za,2/20/2007,177.5
rem-za,2/21/2007,173.95
rem-za,2/22/2007,178.5
rem-za,2/23/2007,177.71
rem-za,2/26/2007,177
rem-za,2/27/2007,174.99
rem-za,2/28/2007,171.95
rem-za,3/1/2007,173
rem-za,3/2/2007,174.98
rem-za,3/5/2007,172
rem-za,3/6/2007,173.51
rem-za,3/7/2007,171.5
rem-za,3/8/2007,173.97
rem-za,3/9/2007,175.5
rem-za,3/12/2007,174.45
rem-za,3/13/2007,173.25
rem-za,3/14/2007,169.24
rem-za,3/15/2007,170.8
rem-za,3/16/2007,171.01
rem-za,3/19/2007,173
rem-za,3/20/2007,174.29
rem-za,3/22/2007,172.9
rem-za,3/23/2007,175.5
rem-za,3/26/2007,174
rem-za,3/27/2007,176.1
rem-za,3/28/2007,177.23
rem-za,3/29/2007,179.01
rem-za,3/30/2007,181
rem-za,4/2/2007,182.55
rem-za,4/3/2007,182
rem-za,4/4/2007,182
rem-za,4/5/2007,183.5
rem-za,4/10/2007,186.8
rem-za,4/11/2007,184
rem-za,4/12/2007,186
rem-za,4/13/2007,185
rem-za,4/16/2007,187.25
rem-za,4/17/2007,186.1
rem-za,4/18/2007,184
rem-za,4/19/2007,186.88
rem-za,4/20/2007,185
rem-za,4/23/2007,185.02
rem-za,4/24/2007,186
rem-za,4/25/2007,191
rem-za,4/26/2007,186
rem-za,4/30/2007,189
rem-za,5/2/2007,186.41
rem-za,5/3/2007,182.25
rem-za,5/4/2007,182.62
rem-za,5/7/2007,184.45
rem-za,5/8/2007,182.8
rem-za,5/9/2007,184.1
rem-za,5/10/2007,183.31
rem-za,5/11/2007,182.99
rem-za,5/14/2007,179.3
rem-za,5/15/2007,180
rem-za,5/16/2007,177.5
rem-za,5/17/2007,177.01
rem-za,5/18/2007,178.5
rem-za,5/21/2007,179.11
rem-za,5/22/2007,181.3
rem-za,5/23/2007,186
rem-za,5/24/2007,184.5
rem-za,5/25/2007,186
rem-za,5/28/2007,185.5
rem-za,5/29/2007,183.98
rem-za,5/30/2007,181
rem-za,5/31/2007,182.3
rem-za,6/1/2007,183.4
rem-za,6/4/2007,180.2
rem-za,6/5/2007,182.51
rem-za,6/6/2007,182
rem-za,6/7/2007,181.98
rem-za,6/8/2007,180
rem-za,6/11/2007,182.5
rem-za,6/12/2007,178.99
rem-za,6/13/2007,181
rem-za,6/14/2007,184.99
rem-za,6/15/2007,186.5
rem-za,6/18/2007,187.6
rem-za,6/19/2007,186.7
rem-za,6/20/2007,188.75
rem-za,6/21/2007,190
rem-za,6/22/2007,187
rem-za,6/25/2007,186.1
rem-za,6/26/2007,186
rem-za,6/27/2007,184
rem-za,6/28/2007,187.5
rem-za,6/29/2007,188.9
rem-za,7/2/2007,188
rem-za,7/3/2007,185
rem-za,7/4/2007,183.93
rem-za,7/5/2007,182.89
rem-za,7/6/2007,183.5
rem-za,7/9/2007,185.2
rem-za,7/10/2007,186.25
rem-za,7/11/2007,184.65
rem-za,7/12/2007,182.63
rem-za,7/13/2007,182.8
rem-za,7/16/2007,184
rem-za,7/17/2007,186.5
rem-za,7/18/2007,184
rem-za,7/19/2007,185
rem-za,7/20/2007,184.1
rem-za,7/23/2007,186.5
rem-za,7/24/2007,187.75
rem-za,7/25/2007,185.9
rem-za,7/26/2007,184
rem-za,7/27/2007,178.48
rem-za,7/30/2007,178.5
rem-za,7/31/2007,179.75
rem-za,8/1/2007,176.85
rem-za,8/2/2007,179
rem-za,8/3/2007,178
rem-za,8/6/2007,173.9
rem-za,8/7/2007,178
rem-za,8/8/2007,184.49
rem-za,8/10/2007,173
rem-za,8/13/2007,177
rem-za,8/14/2007,175.01
rem-za,8/15/2007,174
rem-za,8/16/2007,174
rem-za,8/17/2007,172
rem-za,8/20/2007,174.5
rem-za,8/21/2007,175
rem-za,8/22/2007,178
rem-za,8/23/2007,184.51
rem-za,8/24/2007,178
rem-za,8/27/2007,180
rem-za,8/28/2007,174.2
rem-za,8/29/2007,178.22
rem-za,8/30/2007,182
rem-za,8/31/2007,183.99
rem-za,9/3/2007,181.98
rem-za,9/4/2007,180.89
rem-za,9/5/2007,181.8
rem-za,9/6/2007,182.49
rem-za,9/7/2007,176.5
rem-za,9/10/2007,178.55
rem-za,9/11/2007,184.8
rem-za,9/12/2007,185
rem-za,9/13/2007,183.5
rem-za,9/14/2007,180
rem-za,9/17/2007,177.1
rem-za,9/18/2007,176
rem-za,9/19/2007,179
rem-za,9/20/2007,178.5
rem-za,9/21/2007,177.25
rem-za,9/25/2007,175
rem-za,9/26/2007,176.99
rem-za,9/27/2007,176.25
rem-za,9/28/2007,175
rem-za,10/1/2007,178
rem-za,10/2/2007,175.1
rem-za,10/3/2007,178.15
rem-za,10/4/2007,180.5
rem-za,10/5/2007,183
rem-za,10/8/2007,182.5
rem-za,10/9/2007,181.5
rem-za,10/10/2007,181
rem-za,10/11/2007,180
rem-za,10/12/2007,182.86
rem-za,10/15/2007,183
rem-za,10/16/2007,184.49
rem-za,10/17/2007,186.2
rem-za,10/18/2007,186.5
rem-za,10/19/2007,185.9
rem-za,10/22/2007,186.45
rem-za,10/23/2007,184.29
rem-za,10/24/2007,184.5
rem-za,10/25/2007,186
rem-za,10/26/2007,185.05
rem-za,10/29/2007,189.49
rem-za,10/30/2007,188.03
rem-za,10/31/2007,189.85
rem-za,11/1/2007,187
rem-za,11/2/2007,189
rem-za,11/5/2007,189.55
rem-za,11/6/2007,192.49
rem-za,11/7/2007,187.02
rem-za,11/8/2007,185.3
rem-za,11/9/2007,184.9
rem-za,11/12/2007,187.34
rem-za,11/13/2007,191
rem-za,11/14/2007,190.5
rem-za,11/15/2007,185
rem-za,11/16/2007,185.8
rem-za,11/19/2007,186
rem-za,11/20/2007,193.5
rem-za,11/21/2007,188
rem-za,11/22/2007,191.5
rem-za,11/23/2007,194
rem-za,11/26/2007,193
rem-za,11/27/2007,199
rem-za,11/28/2007,199.25
rem-za,11/29/2007,203
rem-za,11/30/2007,205.88
rem-za,12/3/2007,204.3
rem-za,12/4/2007,201.68
rem-za,12/5/2007,204.6
rem-za,12/6/2007,203.01
